ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Happy Cabbage Farms,Happy Cabbage Cart | Dogwalker Tangie Rosin,PERCENTAGE,78.2,N/A,0,TJs on Powell,0,Concentrate,rosin,.5g,39.17,2
Bonsai,Cherry Vanilla Cookies Sun Kissed Fresh Pressed Live Hash Rosin - Bonsai,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,15
Bonsai,GMO Sun Kissed Hash Rosin - Bonsai,PERCENTAGE,60,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,18
Decibel,Decibel - Rotten Banana - Live Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,2
Decibel Farms,Choco Bonkers Live Rosin | 1g,PERCENTAGE,63.99,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,40,1
Decibel Farms,Decibel | Key Lime Pie (Live Rosin),PERCENTAGE,0,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,40,2
Decibel Farms,Decibel | Papaya Punch (Live Rosin),PERCENTAGE,67.73,PERCENTAGE,0,Attis Trading Co (Barbur),0,Concentrate,rosin,1g,40,1
Funk Extracts,Extract - Funk - GMO (Rosin),PERCENTAGE,71.62,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,40,9
Hash Hamilton,Extract - Hash Hamilton - Sour Tangie (Hash Rosin),PERCENTAGE,72.3,PERCENTAGE,2.3,VIBE - Amberlight,0,Concentrate,rosin,N/A,40,1
Hash Hamilton,Hash Hamilton | Hash Rosin | Duct Tape,PERCENTAGE,73.14,PERCENTAGE,3.18,Oregrown (Portland),1,Concentrate,hash,1g,40,2
Hash Hamilton,Hash Hamilton | Hash Rosin | Mac,PERCENTAGE,74.28,PERCENTAGE,1.26,Oregrown (Portland),1,Concentrate,hash,1g,40,1
Hash Hamilton,Hash Hamilton | Hash Rosin | Sherbadough,PERCENTAGE,74.09,PERCENTAGE,1.19,Oregrown (Portland),1,Concentrate,hash,1g,40,7
Hash Hamilton,MAC Hash Rosin - Hash Hamilton,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,12
Permaculture Solutions,Italian Ice 90u Hash Rosin - Permaculture Solutions,PERCENTAGE,62.82,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,14
Permaculture Solutions,La Wedding Pop 90u Rosin Batter - Permaculture Solutions,PERCENTAGE,51.73,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,15
Permaculture Solutions,Permaculture Solutions - GMO x Banana Puddintain - Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,14
Permaculture Solutions,Platinum Valley Kush - Hash Rosin - Permaculture Solutions,PERCENTAGE,60.3,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,40,9
Resin Ranchers,Resin Ranchers - Rainbow Sherbet - Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,1
Resin Ranchers,Resin Ranchers - Runtz - Hash Rosin,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,1g,40,6
Resin Ranchers,Resin Ranchers | GMO Hash Rosin | 1g,PERCENTAGE,73.01,PERCENTAGE,0,Cannabliss (Firestation 23),0,Concentrate,rosin,1g,40,1
Verdant Leaf,Verdant Leaf - Rosin - In The Pines,PERCENTAGE,71.55,PERCENTAGE,0,Urban Farmacy,1,Concentrate,rosin,1g,40,2
Verdant Leaf,Verdant Leaf | GMO | Rosin | 1g,PERCENTAGE,70.43,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,40,2
Verdant Leaf,Verdant Leaf | Papaya Cake | Live Rosin | 1g,PERCENTAGE,65.59,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,2
Verdant Leaf,Verdant Leaf | Sour Punch | Live Rosin | 1g,PERCENTAGE,74.78,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,40,7
Decibel Farms,Ultra Violence Live Rosin | 1g,PERCENTAGE,68.21,PERCENTAGE,0,Broadway Cannabis Market,0,Concentrate,rosin,1g,40.71,3
Permaculture Solutions,Permaculture Solutions | GMO Pie Hash Rosin,N/A,0,N/A,0,TJs on Powell,0,Concentrate,rosin,1g,41.67,13
Permaculture Solutions,Alien Rock Candy Duct Tape 90u Hash Rosin - Permaculture Solutions,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,42,1
Highland,Highland Provisions - Sundae Driver - Live Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,42.5,6
,Happy Cabbage |  Ice Cream Cake | Rosin | 0.5g,PERCENTAGE,80.6,PERCENTAGE,0.43,Oregons Finest (Convention Center),1,Concentrate,rosin,.5g,43.33,8
Decibel,Decibel | Banana Punch | Live Rosin | 0.5g,PERCENTAGE,64.4,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,4
Decibel,Decibel | Cherry Wonka Bars | Live Rosin | 0.5g,PERCENTAGE,71.3,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,3
Decibel,Decibel | Strawberry Banana | Live Rosin | 0.5g,PERCENTAGE,71.7,PERCENTAGE,1.6,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,5
Happy Cabbage Farms,Happy Cabbage | Garlic Jungle Cake | Rosin | 0.5g,PERCENTAGE,79.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,17
Happy Cabbage Farms,Happy Cabbage | Garlic Jungle Cake | Rosin | 0.5g,PERCENTAGE,79.7,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,18
Happy Cabbage Farms,Happy Cabbage | Laser Sword | Rosin | 0.5g,PERCENTAGE,80.8,N/A,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,6
Happy Cabbage Farms,Happy Cabbage | Laser Sword | Rosin | 0.5g,PERCENTAGE,80.8,N/A,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,.5g,43.33,8
Decibel Farms,Decibel Dabs | Papaya Punch Rosin | 1g,MILLIGRAMS,660.9,PERCENTAGE,0,MindRite,0,Concentrate,rosin,1g,44,3
Decibel Farms,Decibel Farms | Cookies and Cream Live Rosin | 1g,PERCENTAGE,61.6,PERCENTAGE,0,MindRite,0,Concentrate,rosin,1g,44,1
Decibel Farms,Decibel | Cookies and Cream Live Rosin | 1g,PERCENTAGE,61.6,PERCENTAGE,0,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999998
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,60.9,PERCENTAGE,0,Electric Lettuce - Sellwood,0,Concentrate,rosin,1g,44,3
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,66.09,PERCENTAGE,0,Serra (Belmont St - Portland),1,Concentrate,rosin,1g,44,3
Decibel Farms,Triple Chocolate Chip Live Rosin | 1g,MILLIGRAMS,643.6,PERCENTAGE,0,Serra (Belmont St - Portland),1,Concentrate,rosin,1g,44,2
Happy Cabbage Farms,Happy Cabbage Farms Bananacot Hash Rosin Cartridge,PERCENTAGE,76.9,N/A,0,Electric Lettuce - Weilder,0,Concentrate,hash,.5g,44,4
Happy Cabbage Farms,Happy Cabbage Farms Dogwalker Tangie Hash Rosin Cartridge,PERCENTAGE,782,N/A,0,Electric Lettuce - Weilder,0,Concentrate,hash,1g,44,4
Happy Cabbage Farms,Happy Cabbage Farms Laser Sword Hash Rosin Cartridge,PERCENTAGE,81.1,N/A,0,Electric Lettuce - Weilder,0,Concentrate,hash,.5g,44,4
Happy Cabbage Farms,Melon Granita Hash Rosin Cartridge - Happy Cabbage - .50G,N/A,0,N/A,0,Natural RXemedies,0,Concentrate,hash,.5g,44,2
Resin Ranchers,GG#4 Hash Rosin | 1g,PERCENTAGE,73.72,PERCENTAGE,0,Serra (Belmont St - Portland),1,Concentrate,rosin,1gC,44,2
Resin Ranchers,Resin Ranchers Rainbow Sherbet WPFF Hash Rosin,PERCENTAGE,64.55,N/A,0,Electric Lettuce - Weilder,0,Concentrate,rosin,1g,44,4
Resin Ranchers,Resin Ranchers Runtz WPFF Hash Rosin,PERCENTAGE,69.64,PERCENTAGE,0.17,Electric Lettuce - Sellwood,0,Concentrate,rosin,1g,44,3
Resin Ranchers,Resin Ranchers Runtz WPFF Hash Rosin,PERCENTAGE,69.64,PERCENTAGE,0.17,Farma,1,Concentrate,rosin,1g,44,4
Resin Ranchers,Resin Ranchers Zkittlez WPFF Hash Rosin,PERCENTAGE,74.28,PERCENTAGE,0,Farma,1,Concentrate,rosin,1g,44,1
Resin Ranchers,Resin Ranchers | GMO Hash Rosin | 1g,PERCENTAGE,70.25,PERCENTAGE,0,Electric Lettuce - Old Town,0,Concentrate,rosin,1g,44,4
Resin Ranchers,Resin Ranchers | GMO Hash Rosin | 1g,PERCENTAGE,70.43,PERCENTAGE,0.16,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999
Resin Ranchers,Resin Ranchers | Motorbreath Hash Rosin | 1g,PERCENTAGE,71.75,PERCENTAGE,0.15,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9999
Resin Ranchers,Resin Ranchers | Rainbow Sherbet Hash Rosin | 1g,PERCENTAGE,64.55,PERCENTAGE,0,Electric Lettuce - Old Town,0,Concentrate,rosin,1g,44,2
Resin Ranchers,Resin Ranchers | Runtz Hash Rosin | 1g,PERCENTAGE,69.64,PERCENTAGE,0.17,Electric Lettuce - Alberta Arts District,1,Concentrate,rosin,1gC,44,9998
Happy Cabbage Farms,Happy Cabbage - Banana Bliss - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,3
Happy Cabbage Farms,Happy Cabbage - Banana Candy Cakes - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,4
Happy Cabbage Farms,Happy Cabbage - Melon Granita - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,5
Happy Cabbage Farms,Happy Cabbage - Strawberry Banana - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,3
Happy Cabbage Farms,Happy Cabbage Farms Melon Granita Hash Rosin Cartridge,PERCENTAGE,75.7,PERCENTAGE,0.01,Serra (Downtown Portland),1,Concentrate,hash,.5g,44.17,8
Happy Cabbage Farms,Happy Cabbage Farms Strawberry Banana Hash Rosin Cartridge,PERCENTAGE,81.6,N/A,0,Serra (Downtown Portland),1,Concentrate,hash,.5g,44.17,1
Happy Cabbage Farms,Happy Cabbage Farms Strawberry Banana Hash Rosin Cartridge,PERCENTAGE,81.6,N/A,0,Serra (Downtown Portland),1,Concentrate,hash,.5g,44.17,2
Decibel,Decibel | Full Spec Live Rosin | Choco Bonkers,PERCENTAGE,63.99,PERCENTAGE,0,Oregrown (Portland),1,Concentrate,rosin,1g,45,3
Decibel Farms,Triple Chocolate Chip Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Oregrown (Portland),1,Concentrate,rosin,1g,45,1
Happy Cabbage Farms,Happy Cabbage | Hash Rosin Cartridge | Banana Bliss,PERCENTAGE,81.7,PERCENTAGE,0,Oregrown (Portland),1,Concentrate,hash,.5g,45,2
